File;Path;Type;Size;Size (octets);Modification;Creation;Owner;SID;NT account description;Attributes
te_10_carscene.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\smart;Algodoo Scene Package;248,56 KiB;254528;28/03/2013 20.01.06;16/02/2018 01.18.50;<LocalSystemSid>;S-1-5-18;;---AC------
te_1_arch.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\smart;Algodoo Scene Package;338,55 KiB;346680;28/03/2013 20.01.06;16/02/2018 01.18.50;<LocalSystemSid>;S-1-5-18;;---AC------
te_2_mirror_labyrinth_twoplayer.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\smart;Algodoo Scene Package;32,64 KiB;33427;28/03/2013 20.01.06;16/02/2018 01.18.50;<LocalSystemSid>;S-1-5-18;;---AC------
te_3_tipping_truck.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\smart;Algodoo Scene Package;255,56 KiB;261694;28/03/2013 20.01.06;16/02/2018 01.18.50;<LocalSystemSid>;S-1-5-18;;---AC------
te_4_water_gears.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\smart;Algodoo Scene Package;33,91 KiB;34733;28/03/2013 20.01.06;16/02/2018 01.18.50;<LocalSystemSid>;S-1-5-18;;---AC------
te_5_scale.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\smart;Algodoo Scene Package;46,8 KiB;47926;28/03/2013 20.01.06;16/02/2018 01.18.50;<LocalSystemSid>;S-1-5-18;;---AC------
te_6_angle_shooter.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\smart;Algodoo Scene Package;20,96 KiB;21465;28/03/2013 20.01.06;16/02/2018 01.18.50;<LocalSystemSid>;S-1-5-18;;---AC------
te_7_aiming_competition.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\smart;Algodoo Scene Package;22,12 KiB;22652;28/03/2013 20.01.06;16/02/2018 01.18.50;<LocalSystemSid>;S-1-5-18;;---AC------
_ONEXITSAVE.phz;E:\PRIVATE FOLDER\FILE JOEL ROBERT\TransferationsOldDisk\Dokumen (Juliani) Mama\Algodoo\scenes;Algodoo Scene Package;2,42 KiB;2480;21/05/2013 20.08.16;23/11/2013 17.15.03;Joel Robert;S-1-5-21-2156372463-3216769867-3163004619-1001;;---AC------
17491_miku33.phz;E:\PRIVATE FOLDER\FILE JOEL ROBERT\TransferationsOldDisk\Dokumen (Juliani) Mama\Algodoo\scenes\downloads;Algodoo Scene Package;246,46 KiB;252377;10/05/2013 20.40.20;23/11/2013 17.15.03;Joel Robert;S-1-5-21-2156372463-3216769867-3163004619-1001;;---AC------
